scenario,variant,Deontological_seq_delta,Utilitarian_seq_delta,Deontological_seq_p_action2,Utilitarian_seq_p_action2,Deontological_seq_pref,Utilitarian_seq_pref,seq_delta_diff,seq_p_action2_diff,Deontological_action_attn,Utilitarian_action_attn,Deontological_opponent_attn,Utilitarian_opponent_attn,Deontological_payoff_attn,Utilitarian_payoff_attn,action_attn_diff,opponent_attn_diff,payoff_attn_diff
CC_continue,0,-8.45312516740905,-3.3359384282053037,0.00021318752560873638,0.034358658536869154,action1,action1,-5.1171867392037464,-0.03414547101126042,0.0,0.0,0.0012930958316876339,0.0011915997243844545,0.005347800082885302,0.004766237277251024,0.0,0.00010149610730317933,0.0005815628056342779
CC_continue,1,-8.45312516740905,-3.3359384282053037,0.00021318752560873638,0.034358658536869154,action1,action1,-5.1171867392037464,-0.03414547101126042,0.0,0.0,0.0012930958316876339,0.0011915997243844545,0.005347800082885302,0.004766237277251024,0.0,0.00010149610730317933,0.0005815628056342779
CC_continue,2,-9.593750372372822,-2.625002836201572,6.814869674116201e-05,0.06754651250414366,action1,action1,-6.96874753617125,-0.06747836380740249,0.0,0.0,0.0012891911543332613,0.0011872703639360575,0.005543000136430448,0.004904156407484641,0.0,0.00010192079039720377,0.0006388437289458065
CC_temptation,0,-7.296875244685246,-2.5312509726860037,0.0006771940674513605,0.07369620330553996,action1,action1,-4.7656242719992425,-0.0730190092380886,0.0,0.0,0.0011422677108874689,0.001049093328989469,0.005242017026130969,0.004689243837044789,0.0,9.317438189799989e-05,0.0005527731890861802
CC_temptation,1,-7.296875244685246,-2.5312509726860037,0.0006771940674513605,0.07369620330553996,action1,action1,-4.7656242719992425,-0.0730190092380886,0.0,0.0,0.0011422677108874689,0.001049093328989469,0.005242017026130969,0.004689243837044789,0.0,9.317438189799989e-05,0.0005527731890861802
CC_temptation,2,-8.38281253824299,-2.093750747499762,0.0002287133059764361,0.10970570086937856,action1,action1,-6.289061790743228,-0.10947698756340213,0.0,0.0,0.001121968890611942,0.0010185823417626894,0.005312858865811274,0.004684605564062412,0.0,0.00010338654884925252,0.0006282533017488625
CD_punished,0,-8.531249924530012,-3.7500007253217906,0.00019716943683966963,0.022977353626984713,action1,action1,-4.781249199208222,-0.022780184190145044,0.0,0.0,0.001300120296386572,0.0011941097103632414,0.005284562133825743,0.004836671914045627,0.0,0.00010601058602333069,0.0004478902197801154
CD_punished,1,-8.531249924530012,-3.7500007253217906,0.00019716943683966963,0.022977353626984713,action1,action1,-4.781249199208222,-0.022780184190145044,0.0,0.0,0.001300120296386572,0.0011941097103632414,0.005284562133825743,0.004836671914045627,0.0,0.00010601058602333069,0.0004478902197801154
CD_punished,2,-9.609374535309822,-2.9843764687770578,6.709227617103153e-05,0.048136703817869324,action1,action1,-6.624998066532765,-0.048069611541698296,0.0,0.0,0.0013135104225232052,0.0011860175201526056,0.00543297970524201,0.00494574411557271,0.0,0.00012749290237059957,0.0004872355896693003
DC_exploited,0,-7.82031259588222,-1.9531252460809496,0.00040133502267020085,0.12421298158235215,action1,action1,-5.867187349801271,-0.12381164655968195,0.0,0.0,0.001312051828090961,0.001219134204662763,0.005476117993776616,0.00499068028651751,0.0,9.291762342819804e-05,0.00048543770725910547
DC_exploited,1,-7.82031259588222,-1.9531252460809496,0.00040133502267020085,0.12421298158235215,action1,action1,-5.867187349801271,-0.12381164655968195,0.0,0.0,0.001312051828090961,0.001219134204662763,0.005476117993776616,0.00499068028651751,0.0,9.291762342819804e-05,0.00048543770725910547
DC_exploited,2,-9.281250130728965,-2.218747777560112,9.31459182500149e-05,0.0980795200671565,action1,action1,-7.0625023531688536,-0.09798637414890649,0.0,0.0,0.0012983370285767775,0.001181369790664086,0.0053894792038660785,0.004857151840741818,0.0,0.00011696723791269166,0.0005323273631242607
DD_trapped,0,-7.492187677790501,-2.374999217597255,0.0005571116191567072,0.08509910592272507,action1,action1,-5.117188460193246,-0.08454199430356836,0.0,0.0,0.0012977676322826971,0.0012119475465554458,0.005991485256415147,0.005436769185157923,0.0,8.582008572725138e-05,0.0005547160712572243
DD_trapped,1,-7.492187677790501,-2.374999217597255,0.0005571116191567072,0.08509910592272507,action1,action1,-5.117188460193246,-0.08454199430356836,0.0,0.0,0.0012977676322826971,0.0012119475465554458,0.005991485256415147,0.005436769185157923,0.0,8.582008572725138e-05,0.0005547160712572243
DD_trapped,2,-9.257812392121828,-2.9531248892441755,9.535462216774199e-05,0.04958902820394867,action1,action1,-6.304687502877652,-0.04949367358178093,0.0,0.0,0.0013002234582717603,0.0011803596638716185,0.005915070669009135,0.0053022778951204745,0.0,0.0001198637944001418,0.0006127927738886606
