scenario,baseline_p_action2,transplanted_p_action2,delta_p_action2,baseline_coop_rate,transplanted_coop_rate
CC_continue,0.8519528094861488,0.08509920119615552,-0.7668536082899933,0.14804719051385118,0.9149007988038445
CC_continue,0.8519528094861488,0.08509920119615552,-0.7668536082899933,0.14804719051385118,0.9149007988038445
CC_continue,0.9706876423127684,0.1192029204576858,-0.8514847218550826,0.029312357687231616,0.8807970795423142
CC_temptation,0.9770226419710215,0.16451646289669167,-0.8125061790743299,0.02297735802897849,0.8354835371033084
CC_temptation,0.9770226419710215,0.16451646289669167,-0.8125061790743299,0.02297735802897849,0.8354835371033084
CC_temptation,0.9867771916851835,0.24508438085868023,-0.7416928108265033,0.013222808314816481,0.7549156191413198
CD_punished,0.5,0.033085977673700695,-0.4669140223262993,0.5,0.9669140223262993
CD_punished,0.5,0.033085977673700695,-0.4669140223262993,0.5,0.9669140223262993
CD_punished,0.8933093526492947,0.04468074925641531,-0.8486286033928794,0.10669064735070533,0.9553192507435847
DC_exploited,0.9669141287332669,0.3208209021608796,-0.6460932265723873,0.033085871266733125,0.6791790978391203
DC_exploited,0.9669141287332669,0.3208209021608796,-0.6460932265723873,0.033085871266733125,0.6791790978391203
DC_exploited,0.9579124097848312,0.11920273625953012,-0.838709673525301,0.042087590215168835,0.8807972637404698
DD_trapped,0.8670362929941555,0.11920318090328103,-0.7478331120908746,0.13296370700584448,0.880796819096719
DD_trapped,0.8670362929941555,0.11920318090328103,-0.7478331120908746,0.13296370700584448,0.880796819096719
DD_trapped,0.5621782500682129,0.025957315112269425,-0.5362209349559435,0.43782174993178713,0.9740426848877306
