model,layer_component,layer,component,baseline_coop,steered_coop,delta_coop,delta_pct,is_monotonic
PT2_COREDe,L17_mlp,17,mlp,0.1579975559045892,0.4537879560578168,0.2957904001532276,29.57904001532276,True
PT3_COREDe,L17_mlp,17,mlp,0.1636435334310919,0.445733169459843,0.2820896360287511,28.20896360287511,True
PT3_COREDe,L16_mlp,16,mlp,0.1636435334310919,0.4253750346141013,0.2617315011830094,26.173150118300942,True
PT2_COREDe,L16_mlp,16,mlp,0.1579975559045892,0.4149558163740858,0.2569582604694966,25.69582604694966,True
PT3_COREDe,L19_attn,19,attn,0.1636435334310919,0.209599836457669,0.045956303026577106,4.59563030265771,True
PT2_COREDe,L19_attn,19,attn,0.1579975559045892,0.2011559313305181,0.0431583754259289,4.31583754259289,True
PT3_COREDe,L2_mlp,2,mlp,0.1636435334310919,0.1692143620174698,0.005570828586377918,0.5570828586377918,False
PT3_COREDe,L8_mlp,8,mlp,0.1636435334310919,0.1651748340823438,0.001531300651251899,0.1531300651251899,False
PT2_COREDe,L8_mlp,8,mlp,0.1579975559045892,0.149051979531484,-0.008945576373105196,-0.8945576373105196,False
PT2_COREDe,L2_mlp,2,mlp,0.1579975559045892,0.1477849865464273,-0.010212569358161894,-1.0212569358161894,False
PT3_COREDe,L9_mlp,9,mlp,0.1636435334310919,0.1361654323408277,-0.02747810109026419,-2.747810109026419,False
PT2_COREDe,L9_mlp,9,mlp,0.1579975559045892,0.1299447119481535,-0.028052843956435702,-2.8052843956435702,False
PT3_COREDe,L11_mlp,11,mlp,0.1636435334310919,0.1330389951081173,-0.030604538322974606,-3.0604538322974606,False
PT2_COREDe,L11_mlp,11,mlp,0.1579975559045892,0.1186156251888898,-0.0393819307156994,-3.93819307156994,False
