layer,component,name,priority,rationale,model,baseline_coop,steered_coop,delta_coop_pct,is_monotonic,monotonic_violations,consistency_std,effect_size,success
16,mlp,L16_MLP,Tier1,Final decision layer (logit lens divergence),PT2_COREDe,0.1579975559045892,0.41495581637408585,25.695826046949666,True,0,0.2399988263269981,1.0706646544987322,True
16,mlp,L16_MLP,Tier1,Final decision layer (logit lens divergence),PT3_COREDe,0.16364353343109195,0.4253750346141013,26.173150118300935,True,0,0.2487205597678059,1.0523114833263074,True
17,mlp,L17_MLP,Tier1,Final decision layer (logit lens divergence),PT2_COREDe,0.1579975559045892,0.45378795605781685,29.579040015322768,True,0,0.2128348618184816,1.3897648046281794,True
17,mlp,L17_MLP,Tier1,Final decision layer (logit lens divergence),PT3_COREDe,0.16364353343109195,0.445733169459843,28.2089636028751,True,0,0.2219932532595599,1.2707126540414495,True
8,mlp,L8_MLP,Tier1,Pro-Defect encoder (DLA +7-10),PT2_COREDe,0.1579975559045892,0.14905197953148408,-0.8945576373105113,False,3,0.15101569622254143,-0.05923607013619719,False
8,mlp,L8_MLP,Tier1,Pro-Defect encoder (DLA +7-10),PT3_COREDe,0.16364353343109195,0.1651748340823438,0.15313006512518434,False,2,0.1740298905304559,0.008799066910772204,False
9,mlp,L9_MLP,Tier1,Pro-Cooperate encoder (DLA -8 to -9),PT2_COREDe,0.1579975559045892,0.1299447119481535,-2.8052843956435702,False,3,0.13022139838778216,-0.21542422600084535,False
9,mlp,L9_MLP,Tier1,Pro-Cooperate encoder (DLA -8 to -9),PT3_COREDe,0.16364353343109195,0.13616543234082779,-2.747810109026416,False,3,0.1551194143225157,-0.17714159900793086,False
19,attn,L19_ATTN,Tier1,Late routing hub (pathway differences),PT2_COREDe,0.1579975559045892,0.20115593133051812,4.315837542592893,True,0,0.20565444120597065,0.2098587084861649,False
19,attn,L19_ATTN,Tier1,Late routing hub (pathway differences),PT3_COREDe,0.16364353343109195,0.209599836457669,4.595630302657705,True,0,0.22890567313405857,0.20076524271926954,False
11,mlp,L11_MLP,Tier2,Highest DLA contributor (but similar across models),PT2_COREDe,0.1579975559045892,0.1186156251888898,-3.93819307156994,False,4,0.10986004508050587,-0.35847364423380823,False
11,mlp,L11_MLP,Tier2,Highest DLA contributor (but similar across models),PT3_COREDe,0.16364353343109195,0.13303899510811734,-3.0604538322974606,False,3,0.1425942162240341,-0.21462678594825255,False
