scenario,model_id,n_variants,seq_p_action2_mean,seq_p_action2_std,seq_p_action2_min,seq_p_action2_max,seq_delta_mean,seq_delta_std,final_delta_mean,final_delta_std,n_unique_actions,variant_flip
CC_continue,PT2_COREDe,3,0.9993824181847554,4.254005412461726e-05,0.999333297161355,0.9994069786964556,7.390624426716404,0.06765842632679055,0.7265625,0.737474757910186,1,False
CC_continue,PT3_COREDe,3,0.00016484124931952067,8.373820688962112e-05,6.814869674116201e-05,0.0002131875256087,-8.83333356906364,0.6585402691303062,-4.016276041666667,0.3101002422405218,1,False
CC_continue,PT3_COREUt,3,0.0454212765259606,0.019161016421831926,0.0343586585368691,0.0675465125041436,-3.098959897537393,0.4104588554198409,-1.6692708333333333,0.1465928417864284,1,False
CC_continue,PT4_COREDe,3,0.0367527686809497,0.02416253908065047,0.0228025202384313,0.0646532655659865,-3.395838023845846,0.6269671795199346,-3.9427083333333335,1.574181593337339,1,False
CC_continue,base,3,0.8816163057517881,0.0725423869361496,0.8397339391265441,0.965381039002276,2.213540306859366,0.9652554934281923,-1.3971354166666667,0.09697680302794498,1,False
CC_temptation,PT2_COREDe,3,0.9999388964458755,1.6662775360594595e-06,0.9999369723943076,0.9999398584716596,9.703124787020988,0.02706335852352609,5.6328125,0.2232721744131756,1,False
CC_temptation,PT3_COREDe,3,0.000527700480293,0.0002589304883639018,0.0002287133059764,0.0006771940674513,-7.658854342537826,0.6269661887586165,-3.4166666666666665,0.051871313247505504,1,False
CC_temptation,PT3_COREUt,3,0.08569936916015276,0.02079009311186539,0.0736962033055399,0.1097057008693785,-2.38541756429059,0.25259087278179876,-1.4296875,0.2029747040119778,1,False
CC_temptation,PT4_COREDe,3,0.06953608184272113,0.04588790066044138,0.0430426900438685,0.1225228654404264,-2.7239619876598016,0.6540299707700897,-2.796875,1.583202691293427,1,False
CC_temptation,base,3,0.9795908323867962,0.005681615303581396,0.9763105502618415,0.9861513966367054,3.901042455412398,0.31573817991489406,-0.9375,0.3788861141556919,1,False
CD_punished,PT2_COREDe,3,0.9993557285405387,7.548249159637142e-05,0.9993121487036964,0.9994428882142232,7.351562322522831,0.12178487092429367,1.58984375,0.6698165232395268,1,False
CD_punished,PT3_COREDe,3,0.0001538103832834105,7.51000837274202e-05,6.709227617103153e-05,0.0001971694368396,-8.890624794789948,0.6224555342536838,-4.272135416666667,0.36084391824351625,1,False
CD_punished,PT3_COREUt,3,0.0313638036906129,0.014525757605343286,0.0229773536269847,0.0481367038178693,-3.49479263980688,0.44203337061420883,-1.7473958333333333,0.24131437032535136,1,False
CD_punished,PT4_COREDe,3,0.9388948751295502,0.045827664726262075,0.9124362605635108,0.9918121042616288,3.1614597498254997,1.4163126627938307,4.346354166666667,1.005852422103801,1,False
CD_punished,base,3,0.617599860862111,0.23074318492463552,0.4843802209322012,0.8840391407219309,0.6354165728837106,1.2088260159789417,-1.4140625,0.15561393974251633,2,True
DC_exploited,PT2_COREDe,3,0.9999846338223352,6.94010411579118e-08,0.9999845536849156,0.999984673891045,11.083333140863337,0.0045106919034124705,8.141927083333334,0.002255274489021719,1,False
DC_exploited,PT3_COREDe,3,0.00029860532119680496,0.00017793306239830353,9.31459182500149e-05,0.0004013350226702,-8.307291774164469,0.8434726790129953,-3.3997395833333335,0.06540296018163735,1,False
DC_exploited,PT3_COREUt,3,0.11550182774395357,0.0150881610406549,0.0980795200671565,0.1242129815823521,-2.0416660899073373,0.15335724005232423,-1.1796875,0.2029747040119778,1,False
DC_exploited,PT4_COREDe,3,0.05680725274049956,0.04065224598678095,0.0333366675768687,0.1037484230677613,-2.963545636220258,0.6991366312268523,-3.359375,1.6373292790299543,1,False
DC_exploited,base,3,0.9650942969811266,0.007326537494547899,0.9566343401917164,0.9693242753758318,3.333336178156493,0.20748481590331627,-0.78515625,0.36535446722156006,1,False
DD_trapped,PT2_COREDe,3,0.9999688565895676,4.037904262070812e-06,0.9999665253044548,0.9999735191597928,10.382812396217604,0.1353166599624454,7.243489583333333,0.04961603875848359,1,False
DD_trapped,PT3_COREDe,3,0.00040319262016038065,0.0002665955265117681,9.5354622167742e-05,0.0005571116191567,-8.080729249234276,1.0193839041070472,-3.451171875,0.023680382134730744,1,False
DD_trapped,PT3_COREUt,3,0.07326241334979954,0.020501752929880088,0.0495890282039486,0.085099105922725,-2.567707774812895,0.3337810121507827,-1.578125,0.13531646934131855,1,False
DD_trapped,PT4_COREDe,3,0.9560249503968249,0.012310650920038977,0.9489173927742408,0.9702400656419928,3.1093786265590695,0.32476117223108625,4.135416666666667,0.5863713671457136,1,False
DD_trapped,base,3,0.763066682543574,0.1607082634352243,0.577496764232926,0.855851641698898,1.2916712514123223,0.8479822126475326,-0.9934895833333334,0.20748525299002177,1,False
