component,delta_change,effect_size,action_flipped
L12H3,-0.03333333333333333,0.040731397310138244,0
L12H0,-0.03333333333333333,0.040731397310138244,0
L12H2,-0.03333333333333333,0.040731397310138244,0
L12H4,-0.03333333333333333,0.040731397310138244,0
L12H5,-0.03333333333333333,0.040731397310138244,0
L12H6,-0.03333333333333333,0.040731397310138244,0
L12H7,-0.03333333333333333,0.040731397310138244,0
L12H1,-0.03333333333333333,0.040731397310138244,0
L4H2,-0.017708333333333333,0.03804494407306584,0
L4H0,-0.017708333333333333,0.03804494407306584,0
L4H3,-0.017708333333333333,0.03804494407306584,0
L4H4,-0.017708333333333333,0.03804494407306584,0
L4H5,-0.017708333333333333,0.03804494407306584,0
L4H6,-0.017708333333333333,0.03804494407306584,0
L4H7,-0.017708333333333333,0.03804494407306584,0
L4H1,-0.017708333333333333,0.03804494407306584,0
L7_MLP,-0.011458333333333333,0.034823070854587156,0
L23_MLP,-0.026041666666666668,0.034210870136627346,0
L12_MLP,-0.016666666666666666,0.033254452590361236,0
L16H1,-0.008333333333333333,0.03242771422167427,0
L16H0,-0.008333333333333333,0.03242771422167427,0
L16H2,-0.008333333333333333,0.03242771422167427,0
L16H3,-0.008333333333333333,0.03242771422167427,0
L16H4,-0.008333333333333333,0.03242771422167427,0
L16H5,-0.008333333333333333,0.03242771422167427,0
L16H6,-0.008333333333333333,0.03242771422167427,0
L16H7,-0.008333333333333333,0.03242771422167427,0
L2H6,-0.026041666666666668,0.032018748651037744,0
L2H7,-0.026041666666666668,0.032018748651037744,0
L2H3,-0.026041666666666668,0.032018748651037744,0
L2H4,-0.026041666666666668,0.032018748651037744,0
L2H2,-0.026041666666666668,0.032018748651037744,0
L2H1,-0.026041666666666668,0.032018748651037744,0
L2H0,-0.026041666666666668,0.032018748651037744,0
L2H5,-0.026041666666666668,0.032018748651037744,0
L7H0,-0.020833333333333332,0.031946398462121064,0
L7H7,-0.020833333333333332,0.031946398462121064,0
L7H2,-0.020833333333333332,0.031946398462121064,0
L7H5,-0.020833333333333332,0.031946398462121064,0
L7H4,-0.020833333333333332,0.031946398462121064,0
L7H6,-0.020833333333333332,0.031946398462121064,0
L7H1,-0.020833333333333332,0.031946398462121064,0
L7H3,-0.020833333333333332,0.031946398462121064,0
L0_MLP,-0.015625,0.031911442433143006,0
L2_MLP,-0.008333333333333333,0.031234963989761076,0
L5H2,-0.01875,0.028719120341830714,0
L5H0,-0.01875,0.028719120341830714,0
L5H3,-0.01875,0.028719120341830714,0
L5H1,-0.01875,0.028719120341830714,0
L5H4,-0.01875,0.028719120341830714,0
L5H5,-0.01875,0.028719120341830714,0
L5H6,-0.01875,0.028719120341830714,0
L5H7,-0.01875,0.028719120341830714,0
L5_MLP,-0.022916666666666665,0.028486180244569448,0
L21_MLP,-0.0010416666666666667,0.0273366217052285,0
L8_MLP,-0.0125,0.026731366830454958,0
L3_MLP,-0.003125,0.02645795943457117,0
L17_MLP,-0.014583333333333334,0.026415884219377097,0
L1_MLP,-0.0125,0.02609604247157629,0
L0H1,-0.009375,0.025950290331536438,0
L0H0,-0.009375,0.025950290331536438,0
L0H3,-0.009375,0.025950290331536438,0
L0H4,-0.009375,0.025950290331536438,0
L0H6,-0.009375,0.025950290331536438,0
L0H5,-0.009375,0.025950290331536438,0
L0H7,-0.009375,0.025950290331536438,0
L0H2,-0.009375,0.025950290331536438,0
L25H3,-0.027083333333333334,0.02565406461025953,0
L25H5,-0.027083333333333334,0.02565406461025953,0
L25H6,-0.027083333333333334,0.02565406461025953,0
L25H7,-0.027083333333333334,0.02565406461025953,0
L25H2,-0.027083333333333334,0.02565406461025953,0
L25H0,-0.027083333333333334,0.02565406461025953,0
L25H1,-0.027083333333333334,0.02565406461025953,0
L25H4,-0.027083333333333334,0.02565406461025953,0
L19_MLP,-0.021875,0.025385514427526082,0
L17H6,-0.009375,0.02431748122046413,0
L17H7,-0.009375,0.02431748122046413,0
L17H3,-0.009375,0.02431748122046413,0
L17H5,-0.009375,0.02431748122046413,0
L17H4,-0.009375,0.02431748122046413,0
L17H2,-0.009375,0.02431748122046413,0
L17H1,-0.009375,0.02431748122046413,0
L17H0,-0.009375,0.02431748122046413,0
L18_MLP,-0.023958333333333335,0.02347883817735978,0
L1H2,0.0020833333333333333,0.023321519004735208,0
L1H7,0.0020833333333333333,0.023321519004735208,0
L1H6,0.0020833333333333333,0.023321519004735208,0
L1H5,0.0020833333333333333,0.023321519004735208,0
L1H4,0.0020833333333333333,0.023321519004735208,0
L1H3,0.0020833333333333333,0.023321519004735208,0
L1H1,0.0020833333333333333,0.023321519004735208,0
L1H0,0.0020833333333333333,0.023321519004735208,0
L6_MLP,-0.0125,0.02296221115585955,0
L13H7,0.004166666666666667,0.0229301410815568,0
L13H0,0.004166666666666667,0.0229301410815568,0
L13H1,0.004166666666666667,0.0229301410815568,0
L13H2,0.004166666666666667,0.0229301410815568,0
L13H3,0.004166666666666667,0.0229301410815568,0
L13H4,0.004166666666666667,0.0229301410815568,0
L13H5,0.004166666666666667,0.0229301410815568,0
L13H6,0.004166666666666667,0.0229301410815568,0
L14H4,-0.00625,0.022829382449440647,0
L14H2,-0.00625,0.022829382449440647,0
L14H7,-0.00625,0.022829382449440647,0
L14H6,-0.00625,0.022829382449440647,0
L14H5,-0.00625,0.022829382449440647,0
L14H0,-0.00625,0.022829382449440647,0
L14H1,-0.00625,0.022829382449440647,0
L14H3,-0.00625,0.022829382449440647,0
L11_MLP,0.004166666666666667,0.02241102629914342,0
L24H7,-0.0125,0.02133064587363729,0
L24H6,-0.0125,0.02133064587363729,0
L24H5,-0.0125,0.02133064587363729,0
L24H4,-0.0125,0.02133064587363729,0
L24H3,-0.0125,0.02133064587363729,0
L24H2,-0.0125,0.02133064587363729,0
L24H1,-0.0125,0.02133064587363729,0
L24H0,-0.0125,0.02133064587363729,0
L15H0,-0.010416666666666666,0.021304529908556014,0
L15H1,-0.010416666666666666,0.021304529908556014,0
L15H2,-0.010416666666666666,0.021304529908556014,0
L15H3,-0.010416666666666666,0.021304529908556014,0
L15H4,-0.010416666666666666,0.021304529908556014,0
L15H5,-0.010416666666666666,0.021304529908556014,0
L15H6,-0.010416666666666666,0.021304529908556014,0
L15H7,-0.010416666666666666,0.021304529908556014,0
L15_MLP,-0.0010416666666666667,0.021245071640462063,0
L21H0,-0.017708333333333333,0.021156971008539093,0
L21H7,-0.017708333333333333,0.021156971008539093,0
L21H2,-0.017708333333333333,0.021156971008539093,0
L21H4,-0.017708333333333333,0.021156971008539093,0
L21H3,-0.017708333333333333,0.021156971008539093,0
L21H6,-0.017708333333333333,0.021156971008539093,0
L21H5,-0.017708333333333333,0.021156971008539093,0
L21H1,-0.017708333333333333,0.021156971008539093,0
L23H0,-0.019791666666666666,0.020998033871386223,0
L23H1,-0.019791666666666666,0.020998033871386223,0
L23H2,-0.019791666666666666,0.020998033871386223,0
L23H4,-0.019791666666666666,0.020998033871386223,0
L23H5,-0.019791666666666666,0.020998033871386223,0
L23H6,-0.019791666666666666,0.020998033871386223,0
L23H7,-0.019791666666666666,0.020998033871386223,0
L23H3,-0.019791666666666666,0.020998033871386223,0
L24_MLP,-0.009375,0.020861368201225253,0
L4_MLP,0.009375,0.020858285178037436,0
L16_MLP,-0.010416666666666666,0.02040965798564391,0
L6H1,-0.016666666666666666,0.019644882373869032,0
L6H0,-0.016666666666666666,0.019644882373869032,0
L6H7,-0.016666666666666666,0.019644882373869032,0
L6H6,-0.016666666666666666,0.019644882373869032,0
L6H5,-0.016666666666666666,0.019644882373869032,0
L6H4,-0.016666666666666666,0.019644882373869032,0
L6H3,-0.016666666666666666,0.019644882373869032,0
L6H2,-0.016666666666666666,0.019644882373869032,0
L3H7,0.0020833333333333333,0.019308643815819516,0
L3H6,0.0020833333333333333,0.019308643815819516,0
L3H5,0.0020833333333333333,0.019308643815819516,0
L3H4,0.0020833333333333333,0.019308643815819516,0
L3H3,0.0020833333333333333,0.019308643815819516,0
L3H2,0.0020833333333333333,0.019308643815819516,0
L3H1,0.0020833333333333333,0.019308643815819516,0
L3H0,0.0020833333333333333,0.019308643815819516,0
L20H0,-0.011458333333333333,0.019107301736469583,0
L20H3,-0.011458333333333333,0.019107301736469583,0
L20H7,-0.011458333333333333,0.019107301736469583,0
L20H6,-0.011458333333333333,0.019107301736469583,0
L20H5,-0.011458333333333333,0.019107301736469583,0
L20H1,-0.011458333333333333,0.019107301736469583,0
L20H4,-0.011458333333333333,0.019107301736469583,0
L20H2,-0.011458333333333333,0.019107301736469583,0
L13_MLP,0.008333333333333333,0.018237474674707897,0
L8H6,-0.009375,0.01797832616966024,0
L8H5,-0.009375,0.01797832616966024,0
L8H4,-0.009375,0.01797832616966024,0
L8H3,-0.009375,0.01797832616966024,0
L8H2,-0.009375,0.01797832616966024,0
L8H1,-0.009375,0.01797832616966024,0
L8H0,-0.009375,0.01797832616966024,0
L8H7,-0.009375,0.01797832616966024,0
L19H6,-0.003125,0.01749474001243548,0
L19H7,-0.003125,0.01749474001243548,0
L19H0,-0.003125,0.01749474001243548,0
L19H1,-0.003125,0.01749474001243548,0
L19H2,-0.003125,0.01749474001243548,0
L19H3,-0.003125,0.01749474001243548,0
L19H4,-0.003125,0.01749474001243548,0
L19H5,-0.003125,0.01749474001243548,0
L22_MLP,-0.013541666666666667,0.01740571693058194,0
L9_MLP,-0.0020833333333333333,0.017106089770460464,0
L9H0,0.005208333333333333,0.016733040219838697,0
L9H1,0.005208333333333333,0.016733040219838697,0
L9H2,0.005208333333333333,0.016733040219838697,0
L9H3,0.005208333333333333,0.016733040219838697,0
L9H4,0.005208333333333333,0.016733040219838697,0
L9H5,0.005208333333333333,0.016733040219838697,0
L9H6,0.005208333333333333,0.016733040219838697,0
L9H7,0.005208333333333333,0.016733040219838697,0
L18H6,-0.014583333333333334,0.015835115208871032,0
L18H0,-0.014583333333333334,0.015835115208871032,0
L18H4,-0.014583333333333334,0.015835115208871032,0
L18H1,-0.014583333333333334,0.015835115208871032,0
L18H3,-0.014583333333333334,0.015835115208871032,0
L18H2,-0.014583333333333334,0.015835115208871032,0
L18H5,-0.014583333333333334,0.015835115208871032,0
L18H7,-0.014583333333333334,0.015835115208871032,0
L14_MLP,-0.008333333333333333,0.01578669100868866,0
L10H0,-0.003125,0.015370007711213128,0
L10H7,-0.003125,0.015370007711213128,0
L10H6,-0.003125,0.015370007711213128,0
L10H5,-0.003125,0.015370007711213128,0
L10H4,-0.003125,0.015370007711213128,0
L10H3,-0.003125,0.015370007711213128,0
L10H2,-0.003125,0.015370007711213128,0
L10H1,-0.003125,0.015370007711213128,0
L11H3,-0.005208333333333333,0.015011608577478857,0
L11H2,-0.005208333333333333,0.015011608577478857,0
L11H1,-0.005208333333333333,0.015011608577478857,0
L11H7,-0.005208333333333333,0.015011608577478857,0
L11H6,-0.005208333333333333,0.015011608577478857,0
L11H5,-0.005208333333333333,0.015011608577478857,0
L11H4,-0.005208333333333333,0.015011608577478857,0
L11H0,-0.005208333333333333,0.015011608577478857,0
L22H3,-0.0020833333333333333,0.01394988489464426,0
L22H5,-0.0020833333333333333,0.01394988489464426,0
L22H4,-0.0020833333333333333,0.01394988489464426,0
L22H0,-0.0020833333333333333,0.01394988489464426,0
L22H1,-0.0020833333333333333,0.01394988489464426,0
L22H2,-0.0020833333333333333,0.01394988489464426,0
L22H7,-0.0020833333333333333,0.01394988489464426,0
L22H6,-0.0020833333333333333,0.01394988489464426,0
L20_MLP,-0.011458333333333333,0.010905400217781556,0
L10_MLP,0.004166666666666667,0.0102960209401265,0
L25_MLP,0.004166666666666667,0.00556914683511249,0
